Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Score,Seconds
1103,3:58.96,Andrew WALKER,06 MAY 1977,IRL,2,"San Francisco, CA (USA)",29 OCT 2000,1087,238.96
1103,3:58.96,Miles BATTY,01 JUN 1987,USA,2,"Des Moines, IA (USA)",27 APR 2013,1087,238.96
1103,3:58.96,Reed CONNOR,25 SEP 1990,USA,5f2,"West Chester, PA (USA)",11 AUG 2016,1087,238.96
1103,3:58.96,George KUSCHE,06 AUG 1998,RSA,2,Paarl (RSA),22 MAR 2018,1087,238.96
1110,3:58.97,Antonio ATABAO,31 DEC 1955,POR,5,London (GBR),17 SEP 1982,1087,238.97
1110,3:58.97,Stanley ROBERTS,30 SEP 1967,RSA,3,Port Elizabeth (RSA),06 MAR 1993,1087,238.97
1110,3:58.97,Josh CARR,30 JUL 1994,GBR,6,"Birmingham University Athletics Track, Birmingham (GBR)",09 JUL 2022,1087,238.97
1113,3:58.99,Mark CHRISTIE,12 JAN 1985,IRL,5,London (GBR),06 AUG 2005,1087,238.99
1113,3:58.99,Tyler PENNEL,21 DEC 1987,USA,2,St. Louis (USA),04 JUN 2015,1087,238.99
1113,3:58.99,Jamie WILLIAMSON,03 MAR 1997,GER,9,Cork (IRL),16 JUL 2018,1087,238.99
1116,3:59.00,László TÁBORI,06 JUL 1931,HUN,1,London (GBR),28 MAY 1955,1087,239.0
1116,3:59.00,István RÓZSAVÖLGYI,30 MAR 1929,HUN,1,Budapest (HUN),26 AUG 1956,1087,239.0
1116,3:59.00,Bill DOTSON,27 DEC 1940,USA,4,"Walnut, CA (USA)",23 JUN 1962,1087,239.0
1116,3:59.00,Pat TRAYNOR,22 JUN 1941,USA,3,"Walnut, CA (USA)",10 AUG 1968,1087,239.0
1116,3:59.00,Grant MCLAREN,19 AUG 1948,CAN,2,"Eugene, OR (USA)",07 JUL 1972,1087,239.0
1116,3:59.00,Antonio BURGOS,28 NOV 1949,ESP,2,Port Elizabeth (RSA),23 APR 1974,1087,239.0
1116,3:59.00,Hendrik SMIT,14 JUN 1953,RSA,1,Stellenbosch (RSA),15 NOV 1975,1087,239.0
1123,3:59.00,Cyrille LAVENTURE,29 MAR 1964,FRA,6,London (GBR),02 AUG 1985,1087,239.0
1117,3:59.00,Marius-Hugo SCHLECHTER,14 JAN 1965,RSA,5,Port Elizabeth (RSA),14 DEC 1985,1087,239.0
1117,3:59.00,Stephen WILLIS,24 APR 1975,NZL,3,Wanganui (NZL),22 JAN 2000,1087,239.0
1126,3:59.01,Nick HOPKINS,28 AUG 1966,GBR,5,Portsmouth (GBR),12 AUG 1990,1087,239.01
1126,3:59.01,Mack CHAFFEE,04 SEP 1986,USA,2,"Nashville, TN (USA)",04 JUN 2011,1087,239.01
1126,3:59.01,Maxime CHAUMETON,12 JUL 2000,RSA,2,"Coetzenburg Stadium, Stellenbosch (RSA)",15 MAR 2021,1087,239.01
1129,3:59.02,Francois ANNANDALE,05 JUL 1960,RSA,2,Durban (RSA),18 DEC 1981,1087,239.02
1129,3:59.02,David SHARPE,08 JUL 1967,GBR,7,London (GBR),27 MAY 1990,1087,239.02
1129,3:59.02,Filip SASÍNEK,08 JAN 1996,CZE,7,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1087,239.02
1129,3:59.02,Casey CLINGER,09 OCT 1998,USA,1f3,"Clarence F. Robison Track, Provo, UT (USA)",24 APR 2021,1087,239.02
1129,3:59.02,Justin KEMBOI,18 SEP 2000,KEN,1,"Green Point Stadium, Cape Town (RSA)",01 JUN 2022,1087,239.02
1129,3:59.02,Mathew Kipchumba KIPSANG,16 NOV 1995,KEN,2,"Green Point Stadium, Cape Town (RSA)",01 JUN 2022,1087,239.02
1135,3:59.03,Hector TORRES,08 SEP 1973,MEX,2,"Walnut, CA (USA)",19 APR 1998,1086,239.03
1136,3:59.04,Ernie FREER,09 DEC 1965,USA,1,"Fresno, CA (USA)",04 APR 1992,1086,239.04
1136,3:59.04,David José GALVÁN MARTÍNEZ,06 APR 1976,MEX,4,"Walnut, CA (USA)",18 APR 1999,1086,239.04
1136,3:59.04,Sean TORPY,-,USA,1,"Montgomery Bell Academy, Nashville, TN (USA)",06 JUN 2021,1086,239.04
1136,3:59.04,Olin HACKER,21 MAY 1997,USA,2,"Wisconsin Lutheran HS, Milwaukee, WI (USA)",01 JUL 2021,1086,239.04
1140,3:59.05,Thomas KEEN,16 JUN 2001,GBR,8,"Parliament Hill Fields Athletics Track, London (GBR)",14 MAY 2022,1086,239.05
1141,3:59.06,James IGOHE,1962,TAN,2,"Atlanta, GA (USA)",20 JUL 1984,1086,239.06
1141,3:59.06,Fumikazu KOBAYASHI,21 MAR 1978,JPN,1,Amagasaki (JPN),15 JUN 2002,1086,239.06
1141,3:59.06,Tom ELMER,01 APR 1997,SUI,2,"Stadion Allmend, Luzern (SUI)",03 JUL 2020,1086,239.06
1141,3:59.06,Liam BACK,01 JAN 2002,NZL,1f4,"Ray Treacy Track at Hendricken Field, Providence, RI (USA)",08 APR 2022,1086,239.06
1145,3:59.07,Alex ROGERS,26 JUN 1997,USA,3,"Columbia International University, Columbia, SC (USA)",29 AUG 2020,1086,239.07
1145,3:59.07,Callum ELSON,31 DEC 1998,GBR,2f12,"Wimbledon Park Athletics Track, London (GBR)",20 JUL 2022,1086,239.07
1147,3:59.08,Justyn KNIGHT,19 JUL 1996,CAN,2,Cork City (IRL),14 AUG 2019,1086,239.07999999999998
1148,3:59.09,Nigel ADKIN,02 FEB 1972,AUS,5,Cork (IRL),24 JUN 1995,1086,239.09
1148,3:59.09,Brian BARRAZA,16 MAY 1995,USA,3,"Lipscomb Academy, Nashville, TN (USA)",15 AUG 2020,1086,239.09
1150,3:59.10,Gunnar NIELSEN,25 MAR 1928,DEN,2,"Compton, CA (USA)",02 JUN 1956,1086,239.1
1150,3:59.10,Stanislav JUNGWIRTH,15 AUG 1930,TCH,3,London (GBR),19 JUL 1957,1086,239.1
1150,3:59.10,Olavi VUORISALO,05 APR 1933,FIN,2,Naantali (FIN),07 AUG 1957,1086,239.1
1150,3:59.10,Olavi SALONEN,20 DEC 1933,FIN,3,Helsinki (FIN),21 AUG 1962,1086,239.1
1150,3:59.10,Siegfried HERRMANN,07 NOV 1932,GDR,1,Erfurt (GER),24 SEP 1963,1086,239.1
1150,3:59.10,Claude NICOLAS,21 SEP 1941,FRA,4,St-Maur (FRA),02 JUN 1965,1086,239.1
1150,3:59.10,Werner GOSEWINKEL,06 MAR 1947,FRG,3,Stockholm (SWE),02 JUL 1968,1086,239.1
1150,3:59.10,Norm TRERISE,03 JUN 1947,CAN,4,"Eugene, OR (USA)",05 JUN 1970,1086,239.1
1150,3:59.10,Ken SWENSON,18 APR 1948,USA,2,"Durham, NC (USA)",03 MAY 1975,1086,239.1
1150,3:59.10,Ron MACDONALD,07 NOV 1952,GBR,1,Gateshead (GBR),01 SEP 1975,1086,239.1
1150,3:59.10,Ashworth LAUKAM,01 MAR 1961,GBR,4,Coventry (GBR),16 JUN 1985,1086,239.1
1161,3:59.10,Lars-Ove STRŘMŘ,07 MAY 1963,NOR,5,Koblenz (GER),28 AUG 1985,1086,239.1
1161,3:59.10,Bruce STIRLING,12 AUG 1964,USA,5,"Eugene, OR (USA)",02 JUL 1988,1086,239.1
1161,3:59.10,Alan BUNCE,23 AUG 1967,NZL,8,Gateshead (GBR),17 AUG 1990,1086,239.1
1161,3:59.10,Gerard DONAKOWSKI,20 FEB 1960,USA,4,"Dedham, MA (USA)",09 JUN 1991,1086,239.1
1161,3:59.10,Andrew DUSING,-,USA,8,"Raleigh, NC (USA)",04 AUG 2017,1086,239.1
1166,3:59.11,Brad SUMNER,04 AUG 1970,USA,2,"Philadelphia, PA (USA)",29 APR 1995,1085,239.11
1167,3:59.12,Gerry KIERNAN,31 MAY 1953,IRL,3,London (GBR),19 JUN 1976,1085,239.12
1167,3:59.12,Ron BECHT,25 FEB 1958,CAN,7,Burnaby (CAN),16 JUN 1983,1085,239.12
1169,3:59.13,Alemayehu ROBA,27 OCT 1972,ETH,2,Cwmbran (GBR),12 JUL 1992,1085,239.13
1169,3:59.13,Andrew JESIEN,27 MAR 1987,USA,1,"Nashville, TN (USA)",05 JUN 2010,1085,239.13
1169,3:59.13,Andy TROUARD,22 APR 1994,USA,1,"Nashville, TN (USA)",10 JUN 2017,1085,239.13
1169,3:59.13,Theo QUAX,27 DEC 1999,NZL,5f8,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1085,239.13
1173,3:59.14,Kyle LANGFORD,02 FEB 1996,GBR,1,"Birmingham University Athletics Track, Birmingham (GBR)",14 JUL 2021,1085,239.14
1174,3:59.15,Samir BENFARES,06 JUN 1968,FRA,5,Rieti (ITA),03 SEP 1997,1085,239.15
1175,3:59.16,Glen GRANT,16 JUL 1953,GBR,4,London (GBR),19 JUN 1976,1085,239.16
1175,3:59.16,Bryan LINDSAY,28 JUN 1980,USA,2,"Los Angeles, CA (USA)",09 APR 2005,1085,239.16
1175,3:59.16,Valentijn WEINANS,29 DEC 1995,NED,8,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1085,239.16
1178,3:59.17,Billy DEE,18 DEC 1961,GBR,1,London (GBR),14 JUL 1991,1085,239.17000000000002
1178,3:59.17,Sam GEBREMARIAM,16 JUN 1975,USA,4,"Philadelphia, PA (USA)",29 APR 2000,1085,239.17000000000002
1180,3:59.18,Bruno LEVANT,24 JAN 1960,FRA,1,Metz (FRA),11 SEP 1987,1085,239.18
1180,3:59.18,Lee MERRIEN,26 APR 1979,GBR,6,London (GBR),06 AUG 2005,1085,239.18
1180,3:59.18,Stephen DAVIES,16 FEB 1984,GBR,3,London (GBR),25 AUG 2007,1085,239.18
1180,3:59.18,Joel HUBBARD,03 JUL 1994,USA,3f1,"Concord, MA (USA)",02 JUN 2016,1085,239.18
1184,3:59.19,Chris KATON,23 NOV 1970,USA,9,"Eugene, OR (USA)",04 JUN 1994,1084,239.19
1184,3:59.19,Matt STRANGIO,-,USA,1f5,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1084,239.19
1186,3:59.20,Bill BAILLIE,28 MAY 1934,NZL,2,Wellington (NZL),01 FEB 1964,1084,239.2
1186,3:59.20,Miroslav JŮZA,22 JAN 1943,TCH,5,St-Maur (FRA),02 JUN 1965,1084,239.2
1186,3:59.20,Alberto ESTEBAN,06 JAN 1943,ESP,4,Stockholm (SWE),02 JUL 1968,1084,239.2
1186,3:59.20,Rick RILEY,05 MAR 1948,USA,1,"Los Angeles, CA (USA)",16 MAY 1970,1084,239.2
1186,3:59.20,John LAWSON,18 NOV 1943,USA,3,"Berkeley, CA (USA)",30 MAY 1970,1084,239.2
1186,3:59.20,Steve SAVAGE,06 JUN 1948,USA,5,"Eugene, OR (USA)",05 JUN 1970,1084,239.2
1186,3:59.20,Bob WHEELER,11 JAN 1952,USA,3,"Los Angeles, CA (USA)",09 JUN 1972,1084,239.2
1186,3:59.20,Keith PALMER,11 APR 1954,USA,5,"Wichita, KS (USA)",01 JUN 1974,1084,239.2
1186,3:59.20,Jerome HOWE,06 AUG 1950,USA,3,"Durham, NC (USA)",03 MAY 1975,1084,239.2
1195,3:59.20,Tom DUITS,24 JUN 1956,USA,3,"Philadelphia, PA (USA)",29 APR 1978,1084,239.2
1187,3:59.20,Cliff SHEEHAN,03 MAY 1963,USA,4,"Philadelphia, PA (USA)",27 APR 1985,1084,239.2
1196,3:59.20,Michael COX,20 MAY 1972,USA,1,"Lawrence, KS (USA)",20 APR 1996,1084,239.2
1196,3:59.20,Michael STEMBER,30 JAN 1978,USA,5,"Palo Alto, CA (USA)",09 JUN 2001,1084,239.2
1196,3:59.20,Kumari TAKI,06 MAY 1999,KEN,9,"Bislett Stadion, Oslo (NOR)",07 JUN 2018,1084,239.2
1196,3:59.20,Colin SCHULTZ,-,USA,2f5,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1084,239.2
1201,3:59.21,Patrik JOHANSSON,28 JUL 1972,SWE,1,Växjö (SWE),10 AUG 1999,1084,239.21
1201,3:59.21,Tony JORDANEK,27 DEC 1986,USA,3,"Nashville, TN (USA)",04 JUN 2011,1084,239.21
1203,3:59.23,Shane HEALY,05 OCT 1968,IRL,7,Cork (IRL),25 JUN 1994,1084,239.23
1203,3:59.23,Emanuel KEMBOI,1981,KEN,11,"Bislett Stadion, Oslo (NOR)",28 JUL 2000,1084,239.23
1203,3:59.23,Dale KING-CLUTTERBUCK,01 JAN 1992,GBR,14,"Olympic Stadium, London (GBR)",25 JUL 2015,1084,239.23
1206,3:59.24,Mike BERISFORD,08 APR 1936,GBR,5,London (GBR),18 AUG 1962,1084,239.24
1206,3:59.24,Derek GRAHAM,22 SEP 1941,GBR,2,London (GBR),20 AUG 1966,1084,239.24
1206,3:59.24,Brandon LASATER,09 OCT 1992,USA,1f2,"Nashville, TN (USA)",06 JUN 2015,1084,239.24
1209,3:59.25,Takeshi YAMAMOTO,01 AUG 1973,JPN,5,Osaka (JPN),11 MAY 1996,1084,239.25
1209,3:59.25,Michael COLTHARD,28 DEC 1982,GBR,4,London (GBR),25 AUG 2007,1084,239.25
1209,3:59.25,Simas BERTAŠIUS,31 OCT 1993,LTU,1,"Vingis Park Stadium, Vilnius (LTU)",22 AUG 2020,1084,239.25
1209,3:59.25,Obsa ALI,17 FEB 1996,USA,7f2,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1084,239.25
1213,3:59.28,Andrew GEDDES,29 APR 1965,GBR,6,Birmingham (GBR),17 JUL 1987,1083,239.28
1213,3:59.28,Lucas BONS,-,USA,2f3,"Clarence F. Robison Track, Provo, UT (USA)",24 APR 2021,1083,239.28
1215,3:59.29,Frank ZIMMERMANN,10 AUG 1955,FRG,6,Berlin (GER),18 AUG 1978,1083,239.29
1215,3:59.29,Alistair CURRIE,24 MAY 1965,GBR,7,London (GBR),02 AUG 1985,1083,239.29
1215,3:59.29,Dwight DAVIS,25 DEC 1977,USA,3,"Walnut, CA (USA)",16 APR 2000,1083,239.29
1215,3:59.29,John KOSGEI,15 JUL 1973,KEN,7,"Eugene, OR (USA)",24 JUN 2000,1083,239.29
1215,3:59.29,Mark THOMPSON,1987,USA,3,Brasschaat (BEL),26 JUL 2009,1083,239.29
1215,3:59.29,Elroy GELANT,25 AUG 1986,RSA,2,Potchefstroom (RSA),20 APR 2013,1083,239.29
1215,3:59.29,Jacopo DE MARCHI,21 OCT 1998,ITA,9f2,"Arena Civica, Milano (ITA)",04 SEP 2021,1083,239.29
1222,3:59.30,Ken WOOD,21 NOV 1930,GBR,4,London (GBR),19 JUL 1957,1083,239.3
1222,3:59.30,Bruce TULLOH,29 SEP 1935,GBR,2,Hamilton (NZL),27 JAN 1962,1083,239.3
1222,3:59.30,Andy CARTER,29 JAN 1949,GBR,5,London (GBR),10 JUN 1972,1083,239.3
1222,3:59.30,Ed ARRIOLA,26 FEB 1954,USA,4,"Eugene, OR (USA)",14 JUN 1977,1083,239.3
1226,3:59.30,Eamonn MARTIN,09 OCT 1958,GBR,5,Oslo (NOR),23 AUG 1983,1083,239.3
1223,3:59.30,Tim REDMAN,05 JUL 1960,GBR,5,Coventry (GBR),16 JUN 1985,1083,239.3
1223,3:59.30,Mark HOWARD,07 FEB 1966,GBR,3,Portsmouth (GBR),01 JUL 1989,1083,239.3
1228,3:59.30,Anton NICOLAISEN,25 JAN 1968,RSA,3,Port Elizabeth (RSA),18 DEC 1991,1083,239.3
1228,3:59.30,Jon WARREN,01 MAY 1965,USA,10,"Eugene, OR (USA)",04 JUN 1994,1083,239.3
1228,3:59.30,Kamal BOULAHFANE,01 JUL 1976,ALG,12,Zagreb (CRO),07 JUL 1998,1083,239.3
1226,3:59.30,Simon MAUNDER,20 AUG 1972,NZL,4,Wanganui (NZL),22 JAN 2000,1083,239.3
1229,3:59.30,Reed BROWN,06 AUG 1998,USA,3,St. Louis (USA),01 JUN 2017,1083,239.3
1234,3:59.31,Henry MARSH,15 MAR 1954,USA,3,Bern (SUI),16 AUG 1985,1083,239.31
1234,3:59.31,Tom BROOKS,10 JAN 1978,USA,1,"Beaverton, OR (USA)",28 MAY 2009,1083,239.31
1236,3:59.32,Aleksandr KOSTETSKIY,14 JAN 1960,URS,7,Cork (IRL),03 JUL 1984,1083,239.32
1236,3:59.32,Barnabas KORIR,24 OCT 1965,KEN,4,Bratislava (TCH),09 JUN 1988,1083,239.32
1236,3:59.32,Gabe JENNINGS,25 JAN 1979,USA,3,"Walnut, CA (USA)",19 APR 1998,1083,239.32
1236,3:59.32,James HANSEN,27 NOV 1993,AUS,2f1,Sydney (AUS),23 DEC 2017,1083,239.32
1240,3:59.33,Harald OLBRICH,03 FEB 1959,FRG,7,"Letzigrund, Zürich (SUI)",21 AUG 1985,1083,239.32999999999998
1240,3:59.33,Lahoussine SIBA,15 FEB 1973,MAR,2,"Albany, NY (USA)",24 JUL 1993,1083,239.32999999999998
1240,3:59.33,Amine KHADIRI,20 NOV 1988,CYP,8,Cork (IRL),18 JUL 2017,1083,239.32999999999998
1243,3:59.34,Joseph KIPROBON,10 OCT 1970,KEN,6,Belfast (GBR),21 JUN 1991,1083,239.34
1243,3:59.34,Fred SAMOEI,12 JAN 1986,KEN,5,"Des Moines, IA (USA)",30 APR 2011,1083,239.34
1243,3:59.34,Jamal HAIRANE,26 MAY 1993,QAT,9,"Alexander Stadium, Birmingham (GBR)",20 AUG 2017,1083,239.34
1243,3:59.34,Drew BOSLEY,08 OCT 2000,USA,6f6,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1083,239.34
1247,3:59.35,David KEBENEI,1962,KEN,8,London (GBR),17 JUL 1982,1082,239.35
1247,3:59.35,Karl VAN CALCAR,11 JAN 1965,USA,1,"Corvallis, OR (USA)",07 MAY 1988,1082,239.35
1247,3:59.35,John HENWOOD,30 AUG 1972,NZL,2,Wanganui (NZL),18 JAN 1997,1082,239.35
1247,3:59.35,Steve FEIN,04 JUN 1977,USA,3,"Eugene, OR (USA)",13 MAY 2000,1082,239.35
1247,3:59.35,Isaac Kipruto SANG,05 JAN 1978,KEN,2,Heidelberg (GER),25 JUN 2004,1082,239.35
1247,3:59.35,Isaac KIMELI,09 MAR 1994,BEL,10,"Alexander Stadium, Birmingham (GBR)",20 AUG 2017,1082,239.35
1247,3:59.35,Ben POTRYKUS,30 MAY 1996,GBR,7,"Birmingham University Athletics Track, Birmingham (GBR)",09 JUL 2022,1082,239.35
1254,3:59.36,David HEATH,22 MAY 1965,GBR,6,Belfast (GBR),17 JUL 1989,1082,239.36
1254,3:59.36,Gilbert KIPCHOGE,04 MAY 1983,KEN,11,"Bislett Stadion, Oslo (NOR)",06 JUN 2008,1082,239.36
1254,3:59.36,Jonathan DAVIES,28 OCT 1994,GBR,1f1,"University of Stirling Track, Stirling (GBR)",18 SEP 2020,1082,239.36
1257,3:59.37,Peter MCCOLGAN,20 FEB 1963,GBR,9,Birmingham (GBR),18 JUL 1986,1082,239.37
1257,3:59.37,Junior PRINSLOO,02 MAR 1965,RSA,2,Port Elizabeth (RSA),12 DEC 1987,1082,239.37
1257,3:59.37,Lars BŘGH,29 SEP 1964,DEN,9,Gateshead (GBR),16 JUL 1988,1082,239.37
1260,3:59.38,O'Neil SIMPSON,19 DEC 1960,RSA,2,Stellenbosch (RSA),07 NOV 1987,1082,239.38
1260,3:59.38,Matthew MATON,28 MAR 1996,USA,3f2,"Eugene, OR (USA)",08 MAY 2015,1082,239.38
1260,3:59.38,Grant FISHER,22 APR 1997,USA,3,St. Louis (USA),04 JUN 2015,1082,239.38
1260,3:59.38,Nate OSTERSTOCK,-,USA,6f8,"Dempsey Indoor, Seattle, WA (USA)",12 FEB 2022,1082,239.38
1264,3:59.39,Jonathan SHIELDS,01 FEB 1998,GBR,3f5,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1082,239.39
1265,3:59.40,Bill MCKIM,01 OCT 1941,GBR,1,Motspur Park (GBR),22 JUL 1964,1082,239.4
1265,3:59.40,Tim DANIELSON,03 DEC 1947,USA,4,"San Diego, CA (USA)",11 JUN 1966,1082,239.4
1265,3:59.40,Ted NELSON,21 JAN 1943,USA,2,"Los Angeles, CA (USA)",10 AUG 1966,1082,239.4
1265,3:59.40,Roy YOUNG,24 JUN 1946,GBR,1,Motspur Park (GBR),14 JUL 1971,1082,239.4
1265,3:59.40,Justin GLODEN,22 MAR 1953,LUX,11,Bruxelles (BEL),22 AUG 1980,1082,239.4
1270,3:59.40,Jake WATSON,27 JAN 1986,USA,3,"Nashville, TN (USA)",02 JUN 2007,1082,239.4
1270,3:59.40,Lex WILLIAMS,21 MAR 1987,USA,4,"Raleigh, NC (USA)",07 AUG 2015,1082,239.4
1270,3:59.40,Liam MEIROW,-,USA,2,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1082,239.4
1270,3:59.40,Benjamin ALLEN,-,USA,12,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1082,239.4
1274,3:59.41,Jan KRAUS,04 JUL 1965,TCH,5,Bratislava (TCH),09 JUN 1988,1082,239.41
1274,3:59.41,Girma BEKELE,29 DEC 1992,ETH,4,"Des Moines, IA (USA)",27 APR 2013,1082,239.41
1276,3:59.42,Steve SODARO,26 DEC 1987,USA,2,"Berkeley, CA (USA)",24 APR 2010,1082,239.42000000000002
1276,3:59.42,Robert FINNERTY,04 FEB 1990,USA,2,"Portland, OR (USA)",15 JUL 2013,1082,239.42000000000002
1276,3:59.42,William BATTERSHILL,25 FEB 1998,GBR,2,"Birmingham University Athletics Track, Birmingham (GBR)",14 JUL 2021,1082,239.42000000000002
1279,3:59.43,Fernando MAMEDE,01 NOV 1951,POR,8,Edinburgh (GBR),06 AUG 1976,1081,239.43
1279,3:59.43,John KEYWORTH,29 MAY 1963,GBR,3,"Villanova, PA (USA)",14 JUL 1984,1081,239.43
1279,3:59.43,Brimin Kiprono KIPROTICH,20 AUG 1999,KEN,4,"Cambridge, MA (USA)",19 MAY 2018,1081,239.43
1279,3:59.43,Isaac BASTEN,-,USA,3f3,"Lied Recreation Center, Ames, IA (USA)",22 JAN 2022,1081,239.43
1283,3:59.44,Moussa FALL,28 AUG 1963,SEN,3,Viareggio (ITA),06 AUG 1986,1081,239.44
1283,3:59.44,Colin DALTON,10 APR 1966,AUS,2,"Eugene, OR (USA)",11 MAY 1991,1081,239.44
1283,3:59.44,Mafori Ryan MPHAHLELE,20 JUN 1998,RSA,3,Paarl (RSA),22 MAR 2018,1081,239.44
1283,3:59.44,Jackson SHARP,21 AUG 2000,AUS,3,"Wisconsin Lutheran HS, Milwaukee, WI (USA)",01 JUL 2021,1081,239.44
1287,3:59.45,Richard CALLAN,15 NOV 1955,GBR,12,Edinburgh (GBR),23 JUL 1985,1081,239.45
1287,3:59.45,Steve SHERER,05 MAY 1981,USA,7,Toronto (CAN),11 JUN 2009,1081,239.45
1287,3:59.45,Daniel CLARK,09 JUN 1986,USA,2,St. Louis (USA),30 MAY 2013,1081,239.45
1290,3:59.46,Alessandro LAMBRUSCHINI,07 JAN 1965,ITA,8,San Donato Milanese (ITA),30 MAY 1992,1081,239.46
1290,3:59.46,Shaun CREIGHTON,14 MAY 1967,AUS,6,Cork (IRL),24 JUN 1995,1081,239.46
1290,3:59.46,Andrew SMITH,07 OCT 1995,GBR,3,"Birmingham University Athletics Track, Birmingham (GBR)",14 JUL 2021,1081,239.46
1290,3:59.46,Dereck ELKINS,-,USA,3f1,"Vanderbilt Multipurpose Facility, Nashville, TN (USA)",22 JAN 2022,1081,239.46
1294,3:59.47,Rob MULLETT,31 JUL 1987,GBR,3,"West Chester, PA (USA)",13 AUG 2015,1081,239.47
1295,3:59.48,James MCILROY,30 DEC 1976,IRL,2,Solihull (GBR),05 SEP 1998,1081,239.48
1295,3:59.48,Derek GUTIEREZ,08 SEP 1995,USA,4,St. Louis (USA),31 MAY 2018,1081,239.48
1297,3:59.49,Benjamin FERNÁNDEZ,12 OCT 1955,ESP,4,Barcelona (ESP),08 JUL 1984,1081,239.49
1297,3:59.49,Naude JORDAAN,07 JUL 1967,RSA,4,Port Elizabeth (RSA),05 MAR 1990,1081,239.49
1297,3:59.49,Pablo SOLARES,22 DEC 1984,MEX,3,St. Louis (USA),30 MAY 2013,1081,239.49
1300,3:59.50,Jack FATH,20 JUN 1946,USA,5,"Philadelphia, PA (USA)",01 JUN 1968,1081,239.5
1300,3:59.50,Mark WINZENRIED,13 OCT 1949,USA,2,"Los Angeles, CA (USA)",04 MAR 1972,1081,239.5
1300,3:59.50,Mark KENNARD,02 NOV 1959,RSA,2,Port Elizabeth (RSA),30 MAR 1979,1081,239.5
1300,3:59.50,Paul STEEDS,1958,CAN,2,Toronto (CAN),08 AUG 1982,1081,239.5
1300,3:59.50,Gareth BROWN,29 DEC 1961,GBR,1,Swansea (GBR),25 AUG 1984,1081,239.5
1300,3:59.50,Kerry RODGER,13 MAR 1962,NZL,1,Wanganui (NZL),13 FEB 1985,1081,239.5
1300,3:59.50,Jim NORRIS,06 FEB 1963,USA,1,"Holmdel, NJ (USA)",23 JUN 1990,1081,239.5
1307,3:59.51,Boško BOŽINOVIĆ,27 SEP 1949,CRO,6,Wien (AUT),13 JUN 1979,1080,239.51
1307,3:59.51,Simeon BIRNBAUM,-,USA,1,"UW Husky Track, Seattle, WA (USA)",15 JUN 2022,1080,239.51
1309,3:59.52,Abdelmajid MONCEF,10 MAY 1961,MAR,12,Villeneuve d'Ascq (FRA),01 JUL 1991,1080,239.52
1309,3:59.52,Gary MURRAY,31 JAN 1980,IRL,7,London (GBR),06 AUG 2005,1080,239.52
1309,3:59.52,Chris DERRICK,17 OCT 1990,USA,3f1,Burnaby (CAN),10 JUL 2014,1080,239.52
1312,3:59.53,Francis ROP,10 JUL 1976,KEN,5,Stellenbosch (RSA),16 FEB 1996,1080,239.53
1312,3:59.53,Kevin BATT,28 FEB 1991,IRL,3,Leixlip (IRL),27 JUN 2014,1080,239.53
1312,3:59.53,Michael SLAGOWSKI,16 JUN 1997,USA,1f1,"Portland, OR (USA)",29 APR 2016,1080,239.53
1312,3:59.53,Jason CLAYTON,15 MAY 2001,AUS,6,"Saint Louis University High School, Saint Louis, MO (USA)",02 JUN 2022,1080,239.53
1316,3:59.54,Leo DASCHBACH,04 OCT 2001,USA,1,"Oak Ridge HS, Oak Ridge, TN (USA)",23 MAY 2020,1080,239.54
1316,3:59.54,Lucas GUERRA,13 MAY 2003,USA,3,"UVA Lanningan Field, Charlottesville, VA (USA)",04 MAY 2022,1080,239.54
1318,3:59.55,Bashir IBRAHIM,14 MAR 1979,KUW,3,"Des Moines, IA (USA)",28 APR 2001,1080,239.55
1319,3:59.56,Richard TUWEI,20 MAY 1954,KEN,1,København (DEN),15 AUG 1983,1080,239.56
1319,3:59.56,Zak PATTERSON,29 MAY 1995,AUS,2f1,Geelong (AUS),19 DEC 2015,1080,239.56
1321,3:59.57,Aaron RAMIREZ,29 JUL 1962,USA,3,"San Francisco, CA (USA)",15 MAY 1993,1080,239.57
1321,3:59.57,Wilson KIPKETER,12 DEC 1972,KEN,2,Stockholm (SWE),05 JUL 1993,1080,239.57
1321,3:59.57,Matt BARNES,22 JUL 1977,GBR,6,Stretford (GBR),11 AUG 2007,1080,239.57
1321,3:59.57,Derek HOLMES,-,USA,2f4,"Ray Treacy Track at Hendricken Field, Providence, RI (USA)",08 APR 2022,1080,239.57
1325,3:59.59,Alec RITCHIE,1961,CAN,8,Burnaby (CAN),16 JUN 1983,1079,239.59
1325,3:59.59,Adelino HIDALGO,08 MAR 1963,ESP,6,Barcelona (ESP),13 JUL 1988,1079,239.59
